#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,arandr,"allows the user to customize monitor arrangements."
,atool,"manages and gives information about archives."
,bat,"can highlight code output and display files."
,bc,"is used for a dropdown calculator."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,fzf,"is a fuzzy finder tool."
,gnome-keyring,"serves as the system keyring."
,libnotify,"allows desktop notifications."
,maim,"can take quick screenshots at your request."
,man-db,"lets you read man pages of programs."
,mediainfo,"shows audio and video information."
,moreutils,"is a collection of useful unix tools."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neovim,"a tidier vim with some useful features"
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,polkit,"manages user policies."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulsemixer,"is an audio controller."
,python-qdarkstyle,"provides a dark Qt theme."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,sxiv,"is a minimalist image viewer."
,ttf-font-awesome,"provides extended glyph support."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ueberzug,"enables previews in the lf file manager."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,wireplumber,"is the audio system."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
A,librewolf-bin,"the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
G,https://gitlab.com/add003/dwmblocks.git,"serves as the modular status bar."
G,https://gitlab.com/add003/dmenu.git,"runs commands and provides a UI for selection."
G,https://gitlab.com/add003/dwm.git,"is the window manager."
G,https://gitlab.com/add003/st.git,"is my custom build of suckless's terminal emulator."
